Sample,N,I,S,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.075,9928,745,9088,6749,2003,302,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9928,993,8806,5921,2363,453,63,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9928,1241,8519,5230,2563,608,107,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9928,1489,8243,4627,2711,744,146,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9928,2482,7100,2695,2644,1237,409,91,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9928,99,9817,9412,396,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9928,248,9649,8702,911,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9928,496,9348,7698,1509,130,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9928,745,9048,6732,1997,289,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9928,993,8715,5901,2304,454,50,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9928,1241,8411,5195,2503,627,79,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9928,1489,8111,4577,2613,776,131,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9928,2482,6770,2531,2550,1228,356,80,21,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9928,99,9821,9412,401,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9928,248,9650,8713,893,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9928,496,9346,7654,1526,157,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9928,745,9049,6732,1974,308,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9928,993,8752,5912,2316,451,66,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9928,1241,8452,5190,2545,604,95,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9928,1489,8141,4573,2632,774,131,26,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
