N,ave_k,sample,susceptible neighbours,S at time of sample,num 1s,num 2s,num 3s,num 4s,num 5 or more
9926.0,4.9732016925246825,0.125,3233.0,8401.0,2507.0,642.0,77.0,6.0,1.0
9926.0,4.9732016925246825,0.15,3580.0,8100.0,2657.0,754.0,147.0,21.0,1.0
9926.0,4.9732016925246825,0.01,350.0,9819.0,341.0,9.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,843.0,9651.0,799.0,43.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1623.0,9367.0,1468.0,147.0,8.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2249.0,9085.0,1929.0,291.0,26.0,3.0,0.0
9926.0,4.9732016925246825,0.1,2797.0,8795.0,2305.0,427.0,62.0,3.0,0.0
9926.0,4.9732016925246825,0.125,3225.0,8515.0,2528.0,596.0,94.0,6.0,1.0
9926.0,4.9732016925246825,0.15,3589.0,8244.0,2656.0,771.0,139.0,22.0,1.0
9926.0,4.9732016925246825,0.01,384.0,9812.0,379.0,5.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,896.0,9632.0,860.0,34.0,2.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1619.0,9347.0,1462.0,151.0,6.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2251.0,9074.0,1923.0,298.0,28.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2781.0,8786.0,2215.0,496.0,64.0,6.0,0.0
9926.0,4.9732016925246825,0.125,3165.0,8505.0,2413.0,637.0,102.0,13.0,0.0
9926.0,4.9732016925246825,0.15,3527.0,8228.0,2559.0,793.0,152.0,22.0,1.0
9926.0,4.9732016925246825,0.01,369.0,9793.0,363.0,6.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,851.0,9523.0,820.0,31.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1658.0,9104.0,1520.0,131.0,7.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2266.0,8722.0,1931.0,300.0,32.0,3.0,0.0
9926.0,4.9732016925246825,0.1,2697.0,8293.0,2199.0,431.0,61.0,5.0,1.0
9926.0,4.9732016925246825,0.125,3009.0,7846.0,2353.0,530.0,116.0,10.0,0.0
9926.0,4.9732016925246825,0.15,3270.0,7386.0,2430.0,677.0,137.0,24.0,2.0
9926.0,4.9732016925246825,0.01,366.0,9801.0,361.0,5.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,895.0,9574.0,852.0,42.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1705.0,9220.0,1510.0,190.0,5.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2273.0,8859.0,1937.0,316.0,20.0,0.0,0.0
9926.0,4.9732016925246825,0.1,2729.0,8509.0,2222.0,447.0,54.0,5.0,1.0
9926.0,4.9732016925246825,0.125,3135.0,8164.0,2442.0,591.0,91.0,10.0,1.0
9926.0,4.9732016925246825,0.15,3400.0,7728.0,2534.0,698.0,149.0,17.0,2.0
9926.0,4.9732016925246825,0.01,416.0,9812.0,408.0,7.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.025,935.0,9643.0,894.0,40.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1664.0,9345.0,1513.0,137.0,12.0,2.0,0.0
9926.0,4.9732016925246825,0.075,2246.0,9037.0,1947.0,263.0,34.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2786.0,8720.0,2289.0,431.0,59.0,7.0,0.0
9926.0,4.9732016925246825,0.125,3242.0,8408.0,2534.0,600.0,88.0,17.0,3.0
9926.0,4.9732016925246825,0.15,3531.0,8097.0,2641.0,727.0,133.0,27.0,3.0
9926.0,4.9732016925246825,0.01,435.0,9818.0,428.0,7.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,973.0,9652.0,931.0,42.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1755.0,9366.0,1591.0,153.0,11.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2390.0,9083.0,2051.0,305.0,32.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2898.0,8783.0,2358.0,474.0,59.0,7.0,0.0
9926.0,4.9732016925246825,0.125,3338.0,8507.0,2561.0,655.0,105.0,16.0,1.0
